hr0068   0 18 19.65  +36 47 06.6  2000.0  _25Sig_And   4.520  A2V       
hr0069   0 18 17.18  +11 12 20.6  2000.0  __________   6.050  K0III     
hr0070   0 18 42.12  +43 47 28.0  2000.0  _26____And   6.110  B8V       
hr0071   0 18 38.35  +31 31 01.9  2000.0  __________   5.870  A0IV      
hr0072   0 18 42.08  -8 03 11.4  2000.0  __________   6.460  G0V       
hr0073   0 18 42.65  -43 14 06.9  2000.0  __________   6.330  K2III     
hr0074   0 19 25.69  -8 49 26.4  2000.0  __8Iot_Cet   3.560  K1.5III   
hr0075   0 19 41.58  +40 43 46.9  2000.0  __________   6.330  K1III     
hr0076   0 20 05.21  +48 51 54.8  2000.0  __________   6.520  A0V s     
hr0077   0 20 06.98  -64 52 17.4  2000.0  ___Zet_Tuc   4.230  F9V       
hr0078   0 20 24.42  +30 56 09.0  2000.0  __________   5.900  B7V       
hr0079   0 20 45.48  +32 54 40.9  2000.0  __________   5.790  K5III     
hr0080   0 20 35.90  +8 11 25.1  2000.0  _41____Psc   5.370  K3        
hr0081   0 20 54.47  +10 58 36.7  2000.0  __________   6.560  A0V       
hr0082   0 21 07.35  +37 58 06.6  2000.0  _27Rho_And   5.180  F5III     
hr0083   0 20 38.99  -69 37 30.0  2000.0  ___Pi__Tuc   5.510  B9V       
hr0084   0 21 31.23  -28 58 54.7  2000.0  ___Iot_Scl   5.180  G5III     
hr0085   0 21 46.35  -20 03 28.1  2000.0  __________   5.120  M5IIe     
hr0086   0 22 25.54  +13 28 57.2  2000.0  _42____Psc   6.230  K3III     
hr0087   0 21 28.61  -77 25 37.1  2000.0  __________   5.970  K3III     
hr0088   0 22 52.07  -12 12 33.4  2000.0  __9____Cet   6.390  G2V       
hr0089   0 23 12.62  -31 02 10.0  2000.0  __________   6.550  B9IVMn    
hr0090   0 24 01.99  +38 34 37.8  2000.0  __________   7.390  S6.5IIIeZr
hr0091   0 24 15.61  +52 01 12.0  2000.0  __________   5.570  B5IV      
hr0093   0 24 47.52  +61 49 52.0  2000.0  _12____Cas   5.400  B9III     
hr0094   0 24 29.68  -2 13 09.4  2000.0  __________   6.070  K1III     
hr0096   0 25 06.43  +53 02 49.0  2000.0  __________   5.740  B9IV      
hr0097   0 25 24.19  +1 56 22.9  2000.0  _44____Psc   5.770  G5III     
hr0098   0 25 51.79  -77 15 11.8  2000.0  ___Bet_Hyi   2.800  G2IV      
hr0099   0 26 17.18  -42 18 26.0  2000.0  ___Alp_Phe   2.390  K0III     
hr0100   0 26 12.30  -43 40 47.7  2000.0  ___Kap_Phe   3.940  A7V       
hr0101   0 26 37.45  -0 02 59.0  2000.0  _10____Cet   6.190  G8III     
hr0102   0 27 14.73  -25 32 50.2  2000.0  __________   5.980  G8III     
hr0103   0 28 02.98  +17 53 35.2  2000.0  _47____Psc   5.060  M3III     
hr0104   0 28 13.78  +44 23 39.8  2000.0  __________   5.170  A2V s     
hr0105   0 27 55.68  -33 00 26.5  2000.0  ___Eta_Scl   4.810  M4III     
hr0106   0 28 12.71  +16 26 41.8  2000.0  _48____Psc   6.060  K5III     
hr0107   0 28 20.13  +10 11 20.9  2000.0  __________   6.040  F6Va vw   
hr0108   0 28 21.02  -20 20 07.1  2000.0  __________   6.430  G0V       
hr0109   0 28 26.51  -39 54 54.4  2000.0  __________   5.430  M0III     
hr0110   0 28 56.59  +36 54 00.0  2000.0  __________   6.260  G5III     
hr0111   0 28 43.26  -50 31 58.0  2000.0  __________   6.260  K0III     
hr0112   0 30 56.00  +77 01 09.6  2000.0  __________   6.210  K0IV      
hr0113   0 30 19.92  +59 58 37.9  2000.0  __________   5.940  B9IIIn    
hr0114   0 30 07.33  +29 45 05.5  2000.0  _28____And   5.230  A7III     
hr0115   0 29 52.00  -14 51 51.3  2000.0  __________   6.140  F2III     
hr0116   0 29 48.90  -32 07 00.5  2000.0  __________   6.570  K4III     
hr0117   0 30 02.41  -3 57 26.1  2000.0  _12____Cet   5.720  M0III     
hr0118   0 30 22.68  -23 47 15.9  2000.0  __________   5.190  A5Vn      
hr0119   0 30 27.80  -40 56 21.8  2000.0  __________   6.190  F2III     
hr0120   0 30 26.23  -48 12 54.9  2000.0  __________   5.690  F2V       
hr0121   0 31 25.34  +66 31 09.9  2000.0  _13____Cas   6.180  B6V       
hr0122   0 31 25.64  +33 34 53.8  2000.0  __________   5.870  K1III     
hr0123   0 31 46.45  +54 31 19.9  2000.0  _14Lam_Cas   4.730  B8Vn      
hr0124   0 31 41.14  +52 50 21.8  2000.0  __________   5.600  K2III     
hr0125   0 31 25.14  -48 48 12.8  2000.0  ___Lam1Phe   4.770  A0V       
hr0126   0 31 32.83  -62 57 29.5  2000.0  ___Bet1Tuc   4.370  B9V       
hr0127   0 31 33.75  -62 57 57.6  2000.0  ___Bet2Tuc   4.540  A2V+A7V   
hr0128   0 32 26.82  +43 29 40.9  2000.0  __________   6.700  A1Vn      
hr0129   0 33 19.36  +70 58 54.0  2000.0  __________   6.420  A0Vn      
hr0130   0 33 00.00  +62 55 54.0  2000.0  _15Kap_Cas   4.160  B1Ia      
hr0131   0 32 35.60  +20 17 39.5  2000.0  _52____Psc   5.380  K0III     
hr0132   0 32 23.82  +6 57 20.0  2000.0  _51____Psc   5.670  B9.5V     
hr0133   0 32 34.49  +27 34 49.8  2000.0  __________   6.670  A2IV      
hr0134   0 32 49.10  +28 16 49.1  2000.0  __________   6.300  K0III     
hr0135   0 33 10.48  +54 53 41.6  2000.0  __________   5.930  K0III     
hr0136   0 32 43.92  -63 01 52.4  2000.0  ___Bet3Tuc   5.090  A0V       
hr0137   0 34 24.94  +66 45 01.0  2000.0  _16____Cas   6.480  B9III     
hr0138   0 33 41.08  -29 33 30.3  2000.0  __________   5.550  K2III     
hr0139   0 33 23.44  -71 15 58.1  2000.0  ___The_Tuc   6.130  A7IV      
hr0140   0 34 28.05  -52 22 22.7  2000.0  __________   5.570  F3IV-V    
