i,name,OTMpa,OTMslitangle,OTMcass,OTMwait,OTMflag,OTMslewgo,OTMlast,OTMslew,OTMdead,OTMstart,OTMend,OTMexptime,OTMslitwidth,OTMSNR,OTMairmass_start,OTMairmass_end,OTMsky,OTMmoon
21,ZTF22aajhlaj,48.42,0.0,-18.0 deg,0.0,,2023-01-25T09:33:44.833,DECL,78.52,83.52,2023-01-25T09:35:03.355,2023-01-25T09:42:33.355,450.0,1.0,0.0,1.37,1.36,21.4,0.0
22,ZTF22aagcyuo,89.16,0.0,-18.0 deg,0.0,,2023-01-25T09:42:38.355,DECL,60.9,65.9,2023-01-25T09:43:39.251,2023-01-25T09:58:39.251,900.0,1.0,0.0,1.2,1.16,21.4,0.0
23,ZTF22aaipujm,-43.32,0.0,-18.0 deg,0.0,,2023-01-25T09:58:44.251,DECL,72.99,77.99,2023-01-25T09:59:57.239,2023-01-25T10:14:57.239,900.0,1.0,0.0,1.5,1.44,21.4,0.0
24,ZTF22aagzmcz,-66.75,0.0,-18.0 deg,0.0,,2023-01-25T10:15:02.239,DECL,52.17,57.17,2023-01-25T10:15:54.407,2023-01-25T10:25:54.407,600.0,1.0,0.0,1.17,1.15,21.4,0.0
25,ZTF22aagzplj,-57.79,0.0,-18.0 deg,0.0,,2023-01-25T10:25:59.407,DECL,28.09,33.09,2023-01-25T10:26:27.493,2023-01-25T10:36:27.493,600.0,1.0,0.0,1.19,1.17,21.4,0.0
26,ZTF22aakgnmo,51.96,0.0,-18.0 deg,0.0,,2023-01-25T10:36:32.493,az,87.69,92.69,2023-01-25T10:38:00.179,2023-01-25T10:48:00.179,600.0,1.0,0.0,1.29,1.27,21.4,0.0
27,ZTF22aajhsbn,-30.25,0.0,-18.0 deg,0.0,,2023-01-25T10:48:05.179,DECL,139.37,144.37,2023-01-25T10:50:24.549,2023-01-25T11:05:24.549,900.0,1.0,0.0,2.51,2.34,21.4,0.0
28,ZTF22aahhrks,-49.2,0.0,-18.0 deg,0.0,,2023-01-25T11:05:29.549,DECL,71.31,76.31,2023-01-25T11:06:40.858,2023-01-25T11:21:40.858,900.0,1.0,0.0,1.21,1.18,21.4,0.0
28,ZTF22aahhrks,-46.04,0.0,-18.0 deg,0.0,,2023-01-25T11:21:45.858,readout,4.0,20.0,2023-01-25T11:22:00.858,2023-01-25T11:37:00.858,900.0,1.0,0.0,1.18,1.15,21.4,0.0
29,ZTF22aahfjwz,-37.64,0.0,-18.0 deg,0.0,,2023-01-25T11:37:05.858,DECL,34.76,39.76,2023-01-25T11:37:40.614,2023-01-25T11:47:40.614,600.0,1.0,0.0,1.32,1.29,21.4,0.0
30,ZTF22aaezyos,71.51,0.0,-18.0 deg,0.0,,2023-01-25T11:47:45.614,az,83.13,88.13,2023-01-25T11:49:08.740,2023-01-25T11:59:08.740,600.0,1.0,0.0,1.1,1.08,21.4,0.0
31,ZTF22aahwwhp,73.81,0.0,-18.0 deg,0.0,,2023-01-25T11:59:13.740,ha,23.18,28.18,2023-01-25T11:59:36.917,2023-01-25T12:09:36.917,600.0,1.0,0.0,1.09,1.07,21.4,0.0
32,ZTF22aajipum,-24.74,0.0,-18.0 deg,0.0,,2023-01-25T12:09:41.917,DECL,107.98,112.98,2023-01-25T12:11:29.899,2023-01-25T12:18:59.899,450.0,1.0,0.0,2.15,2.1,21.4,0.0
33,ZTF22aagzmwq,-75.43,0.0,-18.0 deg,0.0,,2023-01-25T12:19:04.899,DECL,91.72,96.72,2023-01-25T12:20:36.620,2023-01-25T12:30:36.620,600.0,1.0,0.0,1.13,1.11,21.4,0.0
34,ZTF22aahbdyl,-68.83,0.0,-18.0 deg,0.0,,2023-01-25T12:30:41.620,ha,27.63,32.63,2023-01-25T12:31:09.253,2023-01-25T12:41:09.253,600.0,1.0,0.0,1.15,1.12,21.4,0.0
35,ZTF18aazjflo,88.41,0.0,-18.0 deg,0.0,,2023-01-25T12:41:14.253,az,39.0,44.0,2023-01-25T12:41:53.257,2023-01-25T12:51:53.257,600.0,1.0,0.0,1.13,1.11,21.4,0.0
35,ZTF18aazjflo,86.61,0.0,-18.0 deg,0.0,,2023-01-25T12:51:58.257,readout,4.0,20.0,2023-01-25T12:52:13.257,2023-01-25T13:02:13.257,600.0,1.0,0.0,1.11,1.09,21.4,0.0
36,ZTF22aaknmbw,64.13,0.0,-18.0 deg,0.0,,2023-01-25T13:02:18.257,DECL,45.74,50.74,2023-01-25T13:03:04.002,2023-01-25T13:13:04.002,600.0,1.0,0.0,1.25,1.25,21.4,0.0
